what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367373336062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367373356250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367419981546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367420584750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367420845187
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367420916546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421111953
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1367421115968
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1367421116000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421299828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421322843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421329375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367421335500
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367421338843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421341562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421542109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421569046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421589000
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367421606875
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421608000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421619078
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367421620375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421634406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421637640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367421639093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421659906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421665531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421670218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367421694859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421696140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421737640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421776250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421801609
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1367421868140
activated,editor,org.eclipse.wb.core.ui,,"org.eclipse.wb.core.guiEditor",1367421868671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367421869515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421870984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421892140
error,log,,,"Unhandled event loop exception",1367421903281
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1367421953453
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367421961765
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367421963250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422000656
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367422033750
error,log,,,"Unhandled event loop exception",1367422055421
error,log,,,"Unhandled event loop exception",1367422055937
error,log,,,"Unhandled event loop exception",1367422056734
error,log,,,"Unhandled event loop exception",1367422057250
error,log,,,"Unhandled event loop exception",1367422057515
error,log,,,"Unhandled event loop exception",1367422057531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422080437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422080468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422084234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422084265
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1367422090000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422091609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422099187
error,log,,,"Unhandled event loop exception",1367422111000
error,log,,,"Unhandled event loop exception",1367422111015
error,log,,,"Unhandled event loop exception",1367422111015
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineEnd",1367422142890
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1367422167453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422175781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422175796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422178140
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422178281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422179750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422179859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422193656
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422193671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422196687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1367422196812
error,log,,,"Unhandled event loop exception",1367422236609
error,log,,,"Unhandled event loop exception",1367422243078
no handler,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1367422258015
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1367422259171
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367422262671
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1367422267125
error,log,,,"Unhandled event loop exception",1367422300515
